id_material,titulo,tipo,area,nivel,descricao,autor
1,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
2,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
3,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
4,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
5,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
6,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
7,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
8,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
9,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
10,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
11,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
12,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
13,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
14,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
15,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
16,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
17,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
18,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
19,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
20,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
21,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
22,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
23,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
24,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
25,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
26,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
27,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
28,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
29,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
30,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
31,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
32,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
33,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
34,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
35,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
36,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
37,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
38,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
39,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
40,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
41,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
42,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
43,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
44,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
45,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
46,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
47,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
48,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
49,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
50,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
51,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
52,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
53,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
54,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
55,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
56,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
57,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
58,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
59,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
60,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
61,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
62,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
63,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
64,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
65,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
66,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
67,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
68,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
69,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
70,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
71,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
72,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
73,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
